category,datetime,image_1,image_2,name,page,tag,url
tables,2021-01-05 18:14:28.063968,https://st.hzcdn.com/simgs/5da1ec1e085bcf5f_4-6217/home-design.jpg,,30'' Square Black Laminate Table Top With 22''x22'' Table Height Base,1,"accent table,activity table,banquet table,barheighttable,barstool,bookrack,dining chair,dining table,dining table set,end table,folding chairs,height stool,leather chair,lether sofa,loveseat,marker board,microfiber recliner,office chairs,ottoman set,outdoor table,padded seat,plastic chair,sofa,stool",https://www.houzz.com/products/30-square-black-laminate-table-top-with-22-x22-table-height-base-prvw-vr~160671573
tables,2021-01-05 18:14:28.712158,https://st.hzcdn.com/simgs/451159480a78cddf_4-3862/home-design.jpg,,Coaster Accent Tables Chairside Table With Storage Drawer and Outlet,1,"900577,accent table,antique nutmeg accent table,chair and side table,chair side table,coaster,Coffee and Accent Tables,coffee table,contemporary,drawers,end table,home accent,home decor,living room side table,metal,metal base,modern accent tables,rectangular,side table,Side Tables and End Tables,table with outlet,table with power outlet,transitional,wood top",https://www.houzz.com/products/coaster-accent-tables-chairside-table-with-storage-drawer-and-outlet-prvw-vr~143157783
chairs,2021-01-05 18:14:29.083085,https://st.hzcdn.com/fimgs/7c81b7fd0e86323d_3131-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/a33145e40e863243_3131-w65-h65-b0-p0--.jpg,"Serene Linen Down Filled Overstuffed Cloud Modular Chair, Cream, Armless Chair",1,"cloud,cloud armless chair,contemporary,cream,easily attach using attachment latch underneath,elegant,furniture,modern,modular,overstuffed down feather cushions,upholstered,velvet",https://www.houzz.com/products/serene-linen-down-filled-overstuffed-cloud-modular-chair-cream-armless-chair-prvw-vr~156859763
chairs,2021-01-05 18:14:29.263116,https://st.hzcdn.com/fimgs/45e195370f9071ee_2532-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/1301cc0c0f9071ef_3789-w65-h65-b0-p0--.jpg,"Alfred Dining Chairs, Set of 4, Light Beige With Blue Floral, Espresso Fabric",1,,https://www.houzz.com/products/alfred-dining-chairs-set-of-4-light-beige-with-blue-floral-espresso-fabric-prvw-vr~158103225
chairs,2021-01-05 18:14:29.288464,https://st.hzcdn.com/fimgs/86617419083dedeb_6322-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/7721c809083de5d6_7558-w65-h65-b0-p0--.jpg,"Patara Chair, Chrome Base, Silver Camira Wool",1,,https://www.houzz.com/products/patara-chair-chrome-base-silver-camira-wool-prvw-vr~67097763
tables,2021-01-05 18:14:29.553501,https://st.hzcdn.com/fimgs/3a41b6100951339c_9367-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/72d1c23108f77381_8048-w65-h65-b0-p0--.jpg,"Restaurant Tables and Chairs, ""Remotion"" 31.5'' Square Bistro Outdoor Table",1,"bistro outdoor table,restaurant tables,Restaurant Tables and Chairs",https://www.houzz.com/products/restaurant-tables-and-chairs-remotion-31-5-square-bistro-outdoor-table-prvw-vr~90754903
chairs,2021-01-05 18:14:29.709108,https://st.hzcdn.com/fimgs/3391692d0f931bf8_3649-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/9f4115e70f931bf9_3694-w65-h65-b1-p0--.jpg,"Betty Traditional Fabric Club Chair, Beige",1,,https://www.houzz.com/products/betty-traditional-fabric-club-chair-beige-prvw-vr~141617581
tables,2021-01-05 18:14:29.758829,https://st.hzcdn.com/fimgs/56e1ad6709d673d1_5790-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/6b61b11409d673d2_5790-w65-h65-b0-p0--.jpg,"Monarch 35  x60   Dining Table, Glossy White Finish",1,"dining set,glossy white dining set,home accent,home decor,i 1090,monarch,particle board dining set",https://www.houzz.com/products/monarch-35-x60-dining-table-glossy-white-finish-prvw-vr~25507346
tables,2021-01-05 18:14:29.923471,https://st.hzcdn.com/fimgs/b6b109f30e6f2587_5026-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/1c41305a0e6f2589_5026-w65-h65-b1-p0--.jpg,Haussmann� Wood Wave Verve Accent Snake Table 14x14x20 in H Walnut Oil,1,"accordian,bench,display stand,end table,pedestal,side table,stand,wave,wave end table,wave side table,wood end table,wood end-table,wood side table,wood side-table,wood wave table",https://www.houzz.com/products/haussmann%EF%BF%BD-wood-wave-verve-accent-snake-table-14x14x20-in-h-walnut-oil-prvw-vr~12925872
chairs,2021-01-05 18:14:30.395547,https://st.hzcdn.com/fimgs/6f01f55a0e85678d_5684-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/70e186010e856792_5302-w65-h65-b1-p0--.jpg,"Annie Tufted Velvet Dining Chairs, Set of 2",1,"box tufting,contemporary,contemporary design,dining chair,elegant,furniture,matt black legs,modern,soft grey velvet,upholstered,velvet",https://www.houzz.com/products/annie-tufted-velvet-dining-chairs-set-of-2-prvw-vr~156820478
chairs,2021-01-05 18:14:30.560053,https://st.hzcdn.com/fimgs/2941349f0f35d739_1480-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/8de155180f35d731_3899-w65-h65-b0-p0--.jpg,"CosmoLiving Ellis Modern Metal Accent Chair, Blush Pink",1,"accent chair,modern",https://www.houzz.com/products/cosmoliving-ellis-modern-metal-accent-chair-blush-pink-prvw-vr~163076213
chairs,2021-01-05 18:14:30.851003,https://st.hzcdn.com/fimgs/16a17ef50f9068fe_2086-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/5201ffb10f9068ff_3657-w65-h65-b0-p0--.jpg,"GDF Studio Oliver Farmhouse Armchair, Green Checkerboard/Dark Brown",1,,https://www.houzz.com/products/gdf-studio-oliver-farmhouse-armchair-green-checkerboard-dark-brown-prvw-vr~126620588
chairs,2021-01-05 18:14:30.885353,https://st.hzcdn.com/fimgs/eb510c620c378fe7_9380-w65-h65-b1-p0--.jpg,https://st.hzcdn.com/fimgs/0fd105ff0c378feb_6974-w65-h65-b0-p0--.jpg,"Paloma Pink Velvet Accent Chair, Pink",1,,https://www.houzz.com/products/paloma-pink-velvet-accent-chair-pink-prvw-vr~135868164
